t,agent,event,info
25.0,4,enter,ND-005->ND-011|dt=11.0s|k=10
26.0,1,enter,ND-022->ND-005|dt=8.5s|k=8
26.0,2,enter,ND-006->ND-012|dt=11.0s|k=10
26.0,3,no_route,ND-007
26.0,4,enter,ND-005->ND-011|dt=11.0s|k=10
27.0,1,enter,ND-022->ND-005|dt=8.5s|k=8
27.0,2,enter,ND-006->ND-012|dt=11.0s|k=10
27.0,3,no_route,ND-007
27.0,4,enter,ND-005->ND-011|dt=11.0s|k=10
28.0,1,enter,ND-022->ND-005|dt=8.5s|k=8
28.0,2,enter,ND-006->ND-012|dt=11.9s|k=11
28.0,3,no_route,ND-007
28.0,4,enter,ND-005->ND-011|dt=12.0s|k=11
29.0,1,enter,ND-022->ND-005|dt=9.3s|k=9
29.0,2,enter,ND-006->ND-012|dt=11.9s|k=11
29.0,3,no_route,ND-007
29.0,4,enter,ND-005->ND-011|dt=12.0s|k=11
30.0,1,enter,ND-022->ND-005|dt=9.3s|k=9
30.0,2,enter,ND-006->ND-012|dt=11.9s|k=11
30.0,3,no_route,ND-007
30.0,4,enter,ND-005->ND-011|dt=12.0s|k=11
31.0,1,enter,ND-022->ND-005|dt=9.3s|k=9
31.0,2,enter,ND-006->ND-012|dt=11.9s|k=11
31.0,3,no_route,ND-007
31.0,4,enter,ND-005->ND-011|dt=12.0s|k=11
32.0,1,enter,ND-022->ND-005|dt=9.3s|k=9
32.0,2,enter,ND-006->ND-012|dt=11.9s|k=11
32.0,3,no_route,ND-007
32.0,4,enter,ND-005->ND-011|dt=12.0s|k=11
